date,amount,currency,transactionType,accountName,vendorName,description
2026-08-01T12:30:00,180.00,INR,EXPENSE,HDFC Bank,Swiggy,Food delivery
2026-08-02T19:45:00,290.00,INR,EXPENSE,HDFC Bank,Zomato,Restaurant order
2026-08-03T08:15:00,240.00,INR,EXPENSE,ICICI Savings,Starbucks,Coffee
2026-08-04T18:20:00,1200.00,INR,EXPENSE,HDFC Bank,BigBasket,Groceries
2026-08-05T11:05:00,700.00,INR,EXPENSE,ICICI Savings,DMart,Weekly groceries
2026-08-06T20:10:00,450.00,INR,EXPENSE,HDFC Bank,Amazon,Online shopping
2026-08-07T09:30:00,220.00,INR,EXPENSE,ICICI Savings,Uber,Cab ride
2026-08-08T21:00:00,130.00,INR,EXPENSE,HDFC Bank,Ola,Cab ride
2026-08-09T14:25:00,1650.00,INR,EXPENSE,HDFC Bank,IRCTC,Train ticket
2026-08-10T17:40:00,450.00,INR,EXPENSE,ICICI Savings,Apollo Pharmacy,Medicines
2026-08-11T22:15:00,649.00,INR,EXPENSE,HDFC Bank,Netflix,Subscription
2026-08-12T19:50:00,600.00,INR,EXPENSE,HDFC Bank,BookMyShow,Movie tickets
2026-08-13T10:00:00,399.00,INR,EXPENSE,ICICI Savings,Jio,Recharge
2026-08-14T16:35:00,3200.00,INR,EXPENSE,HDFC Bank,Reliance Digital,Electronics
2026-08-15T12:00:00,12500.00,INR,EXPENSE,HDFC Bank,Swiggy,Bulk catering order
2026-08-16T13:10:00,120000.00,INR,EXPENSE,HDFC Bank,Zomato,Restaurant order
2026-08-17T09:45:00,24000.00,INR,EXPENSE,HDFC Bank,Amazon,Electronics purchase
2026-08-18T20:30:00,4800.00,INR,EXPENSE,ICICI Savings,Uber,Outstation cab
2026-08-19T08:50:00,340.00,INR,EXPENSE,HDFC Bank,Swiggy,Food delivery
2026-08-20T12:15:00,310.00,INR,EXPENSE,ICICI Savings,Starbucks,Coffee
2026-07-01T18:05:00,260.00,INR,EXPENSE,HDFC Bank,Swiggy,Food delivery
2026-07-03T20:40:00,220.00,INR,EXPENSE,HDFC Bank,Zomato,Restaurant order
2026-07-05T10:20:00,950.00,INR,EXPENSE,ICICI Savings,BigBasket,Groceries
2026-07-07T11:30:00,520.00,INR,EXPENSE,HDFC Bank,Flipkart,Online shopping
2026-07-09T19:00:00,150.00,INR,EXPENSE,ICICI Savings,Uber,Cab ride
2026-07-12T21:10:00,190.00,INR,EXPENSE,HDFC Bank,Ola,Cab ride
2026-07-14T09:55:00,1200.00,INR,EXPENSE,ICICI Savings,IRCTC,Train ticket
2026-07-16T16:00:00,300.00,INR,EXPENSE,HDFC Bank,Apollo Pharmacy,Medicines
2026-07-18T22:30:00,649.00,INR,EXPENSE,ICICI Savings,Netflix,Subscription
2026-07-20T19:20:00,400.00,INR,EXPENSE,HDFC Bank,BookMyShow,Movie tickets
2026-07-22T08:40:00,599.00,INR,EXPENSE,ICICI Savings,Jio,Recharge
2026-07-25T15:45:00,900.00,INR,EXPENSE,HDFC Bank,DMart,Weekly groceries
2026-06-02T18:10:00,180.00,INR,EXPENSE,HDFC Bank,Swiggy,Food delivery
2026-06-04T20:35:00,290.00,INR,EXPENSE,HDFC Bank,Zomato,Restaurant order
2026-06-06T09:15:00,380.00,INR,EXPENSE,ICICI Savings,Starbucks,Coffee
2026-06-08T12:40:00,1600.00,INR,EXPENSE,HDFC Bank,BigBasket,Groceries
2026-06-10T17:25:00,650.00,INR,EXPENSE,HDFC Bank,Amazon,Online shopping
2026-06-12T21:50:00,780.00,INR,EXPENSE,ICICI Savings,Flipkart,Online shopping
2026-06-14T10:30:00,280.00,INR,EXPENSE,HDFC Bank,Uber,Cab ride
2026-06-16T19:05:00,4500.00,INR,EXPENSE,HDFC Bank,Reliance Digital,Electronics
2026-08-15T10:00:00,85000.00,INR,INCOME,HDFC Bank,Acme Corp,Salary credit
2026-07-15T10:00:00,85000.00,INR,INCOME,HDFC Bank,Acme Corp,Salary credit
2026-06-15T10:00:00,85000.00,INR,INCOME,HDFC Bank,Acme Corp,Salary credit
2026-08-22T14:30:00,1500.00,INR,INCOME,HDFC Bank,Acme Corp,Bonus
2026-08-23T11:45:00,750.00,INR,INCOME,ICICI Savings,GreenMart,Cashback refund
2026-08-24T09:20:00,650.00,INR,EXPENSE,ICICI Savings,GreenMart,"Groceries, fresh produce"
2026-08-25T18:55:00,1250.00,INR,EXPENSE,HDFC Bank,QuickMart,Household items
2026-08-26T13:35:00,25.00,INR,EXPENSE,HDFC Bank,ChaiTapri,Tea and snacks
2026-08-27T20:05:00,999.00,INR,EXPENSE,ICICI Savings,UnknownVendor,
2026-08-28T12:00:00,50000.00,INR,EXPENSE,HDFC Bank,QuickMart,Bulk purchase
